epoch,algorithm_family_aux_head_loss,algorithm_family_aux_head_sparse_categorical_accuracy,loss,parallel_exact_head_loss,parallel_exact_head_sparse_categorical_accuracy,series_exact_head_loss,series_exact_head_sparse_categorical_accuracy,val_algorithm_family_aux_head_loss,val_algorithm_family_aux_head_sparse_categorical_accuracy,val_loss,val_parallel_exact_head_loss,val_parallel_exact_head_sparse_categorical_accuracy,val_series_exact_head_loss,val_series_exact_head_sparse_categorical_accuracy,learning_rate
0,0.49866771697998047,0.7503235340118408,0.7254392504692078,0.2941628396511078,0.39717647433280945,0.2567600905895233,0.40014705061912537,0.49248266220092773,0.7490000128746033,0.6713799238204956,0.2724194824695587,0.45116665959358215,0.22659164667129517,0.3955000042915344,0.00019999999494757503
1,0.506625771522522,0.7407059073448181,0.6662512421607971,0.2626235783100128,0.42885294556617737,0.22630327939987183,0.42785292863845825,0.48903772234916687,0.7521666884422302,0.6269760131835938,0.2617477774620056,0.4728333353996277,0.19406500458717346,0.437333345413208,0.00019999999494757503
2,0.5047968029975891,0.7409706115722656,0.6317865252494812,0.2475355714559555,0.4382646977901459,0.2075764238834381,0.43829411268234253,0.47606390714645386,0.7584999799728394,0.6094573736190796,0.24790646135807037,0.4738333225250244,0.19492842257022858,0.43316665291786194,0.00019999999494757503
3,0.5018128752708435,0.7373823523521423,0.6060349941253662,0.2357104867696762,0.45399999618530273,0.19467419385910034,0.4444117546081543,0.4763087034225464,0.7484999895095825,0.5578973293304443,0.2163960337638855,0.4698333442211151,0.1747933179140091,0.46166667342185974,0.00019999999494757503
4,0.5003120303153992,0.7407352924346924,0.5869140028953552,0.2260073721408844,0.4494999945163727,0.18578539788722992,0.4490000009536743,0.4716399908065796,0.749833345413208,0.5565443634986877,0.22399653494358063,0.49000000953674316,0.16747386753559113,0.4478333294391632,0.00019999999494757503
5,0.4989759922027588,0.7358529567718506,0.56817227602005,0.2160341739654541,0.45682352781295776,0.17747806012630463,0.45608824491500854,0.49424949288368225,0.7493333220481873,0.6230491995811462,0.2689383327960968,0.4778333306312561,0.18112359941005707,0.47099998593330383,0.00019999999494757503
6,0.49403640627861023,0.738029420375824,0.551742434501648,0.209560826420784,0.4637058675289154,0.1692679077386856,0.45885294675827026,0.47485852241516113,0.7391666769981384,0.5292072892189026,0.208977609872818,0.4983333349227905,0.15402939915657043,0.45633333921432495,0.00019999999494757503
7,0.4927420914173126,0.7402058839797974,0.5402280688285828,0.20332472026348114,0.46373528242111206,0.1644524186849594,0.46088236570358276,0.4862723648548126,0.737500011920929,0.526896059513092,0.19464807212352753,0.4311666786670685,0.16205261647701263,0.4793333411216736,0.00019999999494757503
8,0.4951760470867157,0.7366764545440674,0.5327081084251404,0.20188866555690765,0.4661470651626587,0.15749500691890717,0.4683823585510254,0.47563880681991577,0.7419999837875366,0.5255700349807739,0.19384615123271942,0.46183332800865173,0.16525030136108398,0.46416667103767395,0.00019999999494757503
9,0.48990610241889954,0.7393235564231873,0.518156886100769,0.19452430307865143,0.4670294225215912,0.15221449732780457,0.4677058756351471,0.48002955317497253,0.7390000224113464,0.5234396457672119,0.20619621872901917,0.4736666679382324,0.1492331326007843,0.4651666581630707,0.00019999999494757503
10,0.49102285504341125,0.7377352714538574,0.5118395686149597,0.1913357675075531,0.4703529477119446,0.14862677454948425,0.47247058153152466,0.4757085144519806,0.7443333268165588,0.518809974193573,0.1896740049123764,0.4569999873638153,0.162638321518898,0.4468333423137665,0.00019999999494757503
11,0.4856254756450653,0.740323543548584,0.5050760507583618,0.1893198937177658,0.47085294127464294,0.14579074084758759,0.4733823537826538,0.48171526193618774,0.7438333630561829,0.5371901392936707,0.21418914198875427,0.47866666316986084,0.15440058708190918,0.46950000524520874,0.00019999999494757503
12,0.48757240176200867,0.7392058968544006,0.49154165387153625,0.18066689372062683,0.4739411771297455,0.1402374804019928,0.47350001335144043,0.4754889905452728,0.7425000071525574,0.5166935920715332,0.20870593190193176,0.48249998688697815,0.14156657457351685,0.45916667580604553,0.00019999999494757503
13,0.4864204525947571,0.7374705672264099,0.48539063334465027,0.17742812633514404,0.47632351517677307,0.13769972324371338,0.47376471757888794,0.46679332852363586,0.7450000047683716,0.4969692826271057,0.184958353638649,0.4984999895095825,0.14863321185112,0.46133333444595337,0.00019999999494757503
14,0.4847070574760437,0.7400000095367432,0.4777725338935852,0.1741064339876175,0.4775882363319397,0.1340142786502838,0.47749999165534973,0.4676980972290039,0.7451666593551636,0.49202120304107666,0.18323183059692383,0.4740000069141388,0.14509500563144684,0.46933332085609436,0.00019999999494757503
15,0.48412150144577026,0.7395294308662415,0.47158193588256836,0.17012526094913483,0.48011764883995056,0.13200607895851135,0.48385295271873474,0.4749928414821625,0.7388333082199097,0.5222823023796082,0.19559362530708313,0.5053333044052124,0.16044127941131592,0.45916667580604553,0.00019999999494757503
16,0.4836006164550781,0.7363235354423523,0.4645805060863495,0.16777265071868896,0.4785294234752655,0.1275469809770584,0.4833235442638397,0.47414910793304443,0.7471666932106018,0.5210896134376526,0.21736504137516022,0.4805000126361847,0.13777264952659607,0.47216665744781494,0.00019999999494757503
17,0.4716181755065918,0.743676483631134,0.423727810382843,0.14761006832122803,0.48176470398902893,0.11103519797325134,0.4853823482990265,0.4587688744068146,0.7459999918937683,0.4837559461593628,0.1753249168395996,0.4818333387374878,0.14786213636398315,0.46916666626930237,9.999999747378752e-05
18,0.4692726135253906,0.7416764497756958,0.40986260771751404,0.14177966117858887,0.48729410767555237,0.10382618755102158,0.49020588397979736,0.4625711739063263,0.7458333373069763,0.5191130042076111,0.19844263792037964,0.48366665840148926,0.15877048671245575,0.4646666646003723,9.999999747378752e-05
19,0.4666140079498291,0.7445294260978699,0.40093037486076355,0.13547733426094055,0.4880882501602173,0.1021338403224945,0.4890294075012207,0.4569219946861267,0.7471666932106018,0.4764620065689087,0.17953823506832123,0.476666659116745,0.13700102269649506,0.47616666555404663,9.999999747378752e-05
20,0.4645000994205475,0.7426470518112183,0.39367565512657166,0.13322387635707855,0.4875588119029999,0.09787838906049728,0.49114707112312317,0.46073299646377563,0.7453333139419556,0.4954662322998047,0.18991442024707794,0.4749999940395355,0.14429542422294617,0.4751666784286499,9.999999747378752e-05
21,0.4640307128429413,0.7433235049247742,0.38991686701774597,0.1314624845981598,0.48261764645576477,0.09607885777950287,0.49435293674468994,0.4670098125934601,0.7384999990463257,0.5194581747055054,0.20578552782535553,0.4855000078678131,0.15021942555904388,0.46299999952316284,9.999999747378752e-05
22,0.4600754380226135,0.742588222026825,0.3699275553226471,0.1219450831413269,0.49300000071525574,0.08693920820951462,0.49732354283332825,0.4553307592868805,0.7511666417121887,0.4880741834640503,0.18317323923110962,0.476500004529953,0.14553548395633698,0.4738333225250244,4.999999873689376e-05
23,0.45832252502441406,0.7452353239059448,0.3604826033115387,0.11655016988515854,0.4951176345348358,0.08351001143455505,0.4973529279232025,0.45884332060813904,0.7456666827201843,0.5316364765167236,0.21809004247188568,0.47999998927116394,0.15295147895812988,0.4676666557788849,4.999999873689376e-05
24,0.4554665982723236,0.7451176643371582,0.3502352833747864,0.10963895916938782,0.495941162109375,0.08118759840726852,0.4978823661804199,0.4548821449279785,0.7491666674613953,0.5008881688117981,0.19742131233215332,0.47966668009757996,0.14425808191299438,0.4726666808128357,2.499999936844688e-05
